NACE,Industrial Ecosystem,Horizontal code or not,NACE (Level 2),TIME_PERIOD,geo,Value added weight,Industrial Ecosystem&NACE&Horizontal code or not,Horizontal NACE code,Turnover weight,Persons employed weight,Employees in FTEs weight,Amount of Enterprises weight
F41,Construction,TRUE,F41,2021,BE,0.090730773,ConstructionC25TRUE,C25,0.090730773,0.090730773,0.090730773,0.090730773
F42,Construction,TRUE,F42,2021,BE,0.053088001,ConstructionC25TRUE,C25,0.053088001,0.053088001,0.053088001,0.053088001
F43,Construction,TRUE,F43,2021,BE,0.208881441,ConstructionC25TRUE,C25,0.208881441,0.208881441,0.208881441,0.208881441
M71,Construction,TRUE,M71,2021,BE,0.00814647,ConstructionC25TRUE,C25,0.00814647,0.00814647,0.00814647,0.00814647
N81,Construction,TRUE,N81,2021,BE,0.004184418,ConstructionC25TRUE,C25,0.004184418,0.004184418,0.004184418,0.004184418
C31,Construction,TRUE,C31,2021,BE,0.003513076,ConstructionC25TRUE,C25,0.003513076,0.003513076,0.003513076,0.003513076
F41,Construction,TRUE,F41,2022,BE,0.089030665,ConstructionC25TRUE,C25,0.089030665,0.089030665,0.089030665,0.089030665
F42,Construction,TRUE,F42,2022,BE,0.049071072,ConstructionC25TRUE,C25,0.049071072,0.049071072,0.049071072,0.049071072
F43,Construction,TRUE,F43,2022,BE,0.19892097,ConstructionC25TRUE,C25,0.19892097,0.19892097,0.19892097,0.19892097
M71,Construction,TRUE,M71,2022,BE,0.00828628,ConstructionC25TRUE,C25,0.00828628,0.00828628,0.00828628,0.00828628
N81,Construction,TRUE,N81,2022,BE,0.00313878,ConstructionC25TRUE,C25,0.00313878,0.00313878,0.00313878,0.00313878
C31,Construction,TRUE,C31,2022,BE,0.001327461,ConstructionC25TRUE,C25,0.001327461,0.001327461,0.001327461,0.001327461
F41,Construction,TRUE,F41,2023,BE,0.0844479,ConstructionC25TRUE,C25,0.0844479,0.0844479,0.0844479,0.0844479
F42,Construction,TRUE,F42,2023,BE,0.049660373,ConstructionC25TRUE,C25,0.049660373,0.049660373,0.049660373,0.049660373
F43,Construction,TRUE,F43,2023,BE,0.199271131,ConstructionC25TRUE,C25,0.199271131,0.199271131,0.199271131,0.199271131
M71,Construction,TRUE,M71,2023,BE,0.00830203,ConstructionC25TRUE,C25,0.00830203,0.00830203,0.00830203,0.00830203
N81,Construction,TRUE,N81,2023,BE,0.00584601,ConstructionC25TRUE,C25,0.00584601,0.00584601,0.00584601,0.00584601
C31,Construction,TRUE,C31,2023,BE,0.00276967,ConstructionC25TRUE,C25,0.00276967,0.00276967,0.00276967,0.00276967
F41,Construction,TRUE,F41,2008,BG,0.101768326,ConstructionC25TRUE,C25,0.101768326,0.101768326,0.101768326,0.101768326
F42,Construction,TRUE,F42,2008,BG,0.053453816,ConstructionC25TRUE,C25,0.053453816,0.053453816,0.053453816,0.053453816
F43,Construction,TRUE,F43,2008,BG,0.221275609,ConstructionC25TRUE,C25,0.221275609,0.221275609,0.221275609,0.221275609
M71,Construction,TRUE,M71,2008,BG,0.002168868,ConstructionC25TRUE,C25,0.002168868,0.002168868,0.002168868,0.002168868
N81,Construction,TRUE,N81,2008,BG,0.002327513,ConstructionC25TRUE,C25,0.002327513,0.002327513,0.002327513,0.002327513
